cargo_Analista,cargo_Diretor,cargo_Fundador,cargo_Gerente,cargo_Programador,idade,salario,bonus,sócio
-0.49999999999999994,1.9999999999999998,-0.49999999999999994,-0.3333333333333333,-0.6546536707079771,0.7473298985080155,0.46561528889299664,0.21345972656786955,1
1.9999999999999998,-0.49999999999999994,-0.49999999999999994,-0.3333333333333333,-0.6546536707079771,-1.006607618398552,-0.8670939458633443,-0.8673490155479255,0
-0.49999999999999994,-0.49999999999999994,-0.49999999999999994,2.9999999999999996,-0.6546536707079771,-0.3965423951267024,1.381852887787981,-0.326944644490028,1
-0.49999999999999994,-0.49999999999999994,-0.49999999999999994,-0.3333333333333333,1.5275252316519463,-1.006607618398552,-1.0919886292284768,-0.8673490155479255,0
-0.49999999999999994,1.9999999999999998,-0.49999999999999994,-0.3333333333333333,-0.6546536707079771,1.1286206630529214,-0.034150674140631235,-0.056742458961079247,1
-0.49999999999999994,-0.49999999999999994,1.9999999999999998,-0.3333333333333333,-0.6546536707079771,2.272492956687639,1.631735869304795,2.6452793963284087,1
1.9999999999999998,-0.49999999999999994,-0.49999999999999994,-0.3333333333333333,-0.6546536707079771,-0.24402608930874,-0.9253999748839343,-0.5971468300189768,0
-0.49999999999999994,-0.49999999999999994,-0.49999999999999994,-0.3333333333333333,1.5275252316519463,-0.5490587009446648,-1.158624090966294,-0.8403287969950307,0
-0.49999999999999994,-0.49999999999999994,1.9999999999999998,-0.3333333333333333,-0.6546536707079771,-0.5490587009446648,0.9653812519266245,0.4836619120968183,1
-0.49999999999999994,-0.49999999999999994,-0.49999999999999994,-0.3333333333333333,1.5275252316519463,-0.3965423951267024,-0.36732798282971646,0.21345972656786955,1
